PropertyID,Year Transferred to LB,Certified delinquent year,Amount,notes
23-156-0900.000,,,,
23-162-0900.000,,,,
23-177-0400.000,,,,
23-180-0501.000,,,,
23-180-0800.001,,,,
23-180-1100.000,,,,
23-180-1300.000,,,,
23-180-1500.000,,,,
23-180-1700.000,,,,
23-183-0700.000,,,,
23-185-1100.000,,,,
23-185-1400.000,,,,
23-188-0300.000,,,,
23-188-0400.000,,,,
23-203-0700.000,,,,
23-203-0900.000,,,,
23-212-0080.000,,,,
23-212-0081.000,,,,
24-006-0100.000,,,,
24-006-1300.000,,,,
24-006-1400.000,,,,
24-006-1700.000,,,,
24-007-0100.000,,,,
24-010-0900.000,,,,
24-014-1100.000,,,,
24-033-1200.000,,,,
24-037-1700.000,,,,
24-037-1800.000,,,,
24-041-0900.000,,,,
24-041-1000.000,,,,
24-047-1600.000,,,,
24-047-1700.000,,,,
24-048-0100.000,,,,
24-048-0200.000,,,,
25-050-1300.000,,,,
25-063-0601.000,,,,
25-064-1000.000,,,,
26-077-0500.000,,,,
26-077-0600.000,,,,
26-079-0400.000,,,,
26-088-0500.000,,,,
26-090-1600.000,,,,
26-093-0900.000,,,,
27-008-0400.000,,,,
27-008-1700.001,,,,
27-020-0600.000,,,,
27-030-0700.000,,,,
27-032-1600.000,,,,
27-044-1800.000,,,,
27-080-0200.000,,,,
27-083-1700.000,,,,
27-087-0100.000,,,,
27-088-1400.000,,,,
27-089-1100.000,,,,
29-013-1300.000,,,,
29-014-1200.000,,,,
29-014-1500.000,,,,
29-015-0200.000,,,,
29-015-0800.000,,,,
29-019-0300.000,,,,
29-041-1500.000,,,,
29-041-1600.000,,,,
29-043-0400.000,,,,
29-043-0500.000,,,,
29-044-0900.000,,,,
29-045-1700.000,,,,
29-052-0600.000,,,,
29-053-0600.000,,,,
29-056-0300.000,,,,
29-086-1100.000,,,,
29-088-0200.000,,,,
29-088-0300.000,,,,
29-088-0500.000,,,,
29-088-1600.000,,,,
29-090-0500.000,,,,
30-043-0100.000,,,,
30-043-0200.000,,,,
30-043-0200.001,,,,
30-043-0500.000,,,,
30-050-1500.000,,,,
30-055-0900.000,,,,
30-057-1300.000,,,,
30-059-0100.000,,,,
30-059-0600.000,,,,
30-059-0700.000,,,,
30-060-1800.000,,,,
30-072-0700.000,,,,
30-075-0100.000,,,,
30-077-1301.000,,,,
30-077-1600.000,,,,
31-005-1300.000,,,,
31-005-1500.000,,,,
32-002-1801.000,,,,
32-037-0600.000,,,,
32-039-1000.000,,,,
32-041-1400.000,,,,
32-066-0900.000,,,,
32-067-0100.000,,,,
32-068-0200.000,,,,
32-069-0800.000,,,,
32-069-1800.000,,,,
32-070-0900.000,,,,
32-070-1000.000,,,,
32-071-0200.000,,,,
32-071-1500.000,,,,
32-073-0100.000,,,,
32-074-0700.000,,,,
32-076-1300.000,,,,
32-077-0400.000,,,,
32-077-0500.000,,,,
32-077-0900.000,,,,
32-078-0300.000,,,,
32-078-1100.000,,,,
32-080-0400.000,,,,
32-080-1500.000,,,,
32-097-0600.000,,,,
34-002-1800.000,,,,
34-003-0100.000,,,,
34-054-0200.000,,,,
35-013-1400.000,,,,
35-031-1500.000,,,,
35-032-0200.000,,,,
35-032-0300.000,,,,
35-038-0600.000,,,,
35-038-0800.000,,,,
35-039-0400.000,,,,
35-043-1800.000,,,,
35-044-0100.000,,,,
35-046-0300.000,,,,
35-046-0400.000,,,,
35-046-0500.000,,,,
35-046-0600.000,,,,
35-046-0700.000,,,,
35-046-0800.000,,,,
35-046-1300.000,,,,
35-049-0100.000,,,,
35-050-0100.000,,,,
35-053-0900.000,,,,
35-053-0900.000,,,,
35-056-0400.000,,,,
36-022-0400.000,,,,
36-022-1700.000,,,,
36-022-1800.000,,,,
36-024-1800.000,,,,
36-051-0700.000,,,,
36-051-1200.000,,,,
36-053-0800.000,,,,
36-061-1200.000,,,,
36-062-1800.000,,,,
36-063-1400.000,,,,
36-065-0701.000,,,,
